age_class,EMS,date,var,value
"[10,20)",0,2020-03-11,case_incid,0
"[20,50)",0,2020-03-11,case_incid,17
"[50,65)",0,2020-03-11,case_incid,8
"[50,65)",1,2020-03-11,case_incid,0
"[65, Inf)",0,2020-03-11,case_incid,5
"[65, Inf)",1,2020-03-11,case_incid,0
"[-Inf,5)",0,2020-03-12,case_incid,0
"[5,10)",0,2020-03-12,case_incid,0
"[10,20)",0,2020-03-12,case_incid,0
"[20,50)",0,2020-03-12,case_incid,19
"[50,65)",0,2020-03-12,case_incid,2
"[50,65)",1,2020-03-12,case_incid,0
"[65, Inf)",0,2020-03-12,case_incid,8
"[65, Inf)",1,2020-03-12,case_incid,0
"[-Inf,5)",0,2020-03-13,case_incid,0
"[5,10)",0,2020-03-13,case_incid,0
"[10,20)",0,2020-03-13,case_incid,0
"[20,50)",0,2020-03-13,case_incid,35
"[50,65)",0,2020-03-13,case_incid,8
"[50,65)",1,2020-03-13,case_incid,0
"[65, Inf)",0,2020-03-13,case_incid,12
"[65, Inf)",1,2020-03-13,case_incid,2
"[-Inf,5)",0,2020-03-14,case_incid,0
"[5,10)",0,2020-03-14,case_incid,0
"[10,20)",0,2020-03-14,case_incid,1
"[20,50)",0,2020-03-14,case_incid,19
"[50,65)",0,2020-03-14,case_incid,12
"[50,65)",1,2020-03-14,case_incid,0
"[65, Inf)",0,2020-03-14,case_incid,13
"[65, Inf)",1,2020-03-14,case_incid,1
"[-Inf,5)",0,2020-03-15,case_incid,0
"[5,10)",0,2020-03-15,case_incid,0
"[10,20)",0,2020-03-15,case_incid,0
"[20,50)",0,2020-03-15,case_incid,15
"[50,65)",0,2020-03-15,case_incid,15
"[50,65)",1,2020-03-15,case_incid,0
"[65, Inf)",0,2020-03-15,case_incid,13
"[65, Inf)",1,2020-03-15,case_incid,2
"[-Inf,5)",0,2020-03-16,case_incid,0
"[5,10)",0,2020-03-16,case_incid,0
"[10,20)",0,2020-03-16,case_incid,1
"[20,50)",0,2020-03-16,case_incid,61
"[50,65)",0,2020-03-16,case_incid,36
"[50,65)",1,2020-03-16,case_incid,0
"[65, Inf)",0,2020-03-16,case_incid,17
"[65, Inf)",1,2020-03-16,case_incid,1
"[-Inf,5)",0,2020-03-17,case_incid,0
"[5,10)",0,2020-03-17,case_incid,0
"[10,20)",0,2020-03-17,case_incid,2
"[20,50)",0,2020-03-17,case_incid,71
"[50,65)",0,2020-03-17,case_incid,31
"[50,65)",1,2020-03-17,case_incid,0
"[65, Inf)",0,2020-03-17,case_incid,37
"[65, Inf)",1,2020-03-17,case_incid,2
"[-Inf,5)",0,2020-03-18,case_incid,0
"[5,10)",0,2020-03-18,case_incid,1
"[10,20)",0,2020-03-18,case_incid,3
"[20,50)",0,2020-03-18,case_incid,90
"[50,65)",0,2020-03-18,case_incid,54
"[50,65)",1,2020-03-18,case_incid,0
"[65, Inf)",0,2020-03-18,case_incid,34
"[65, Inf)",1,2020-03-18,case_incid,4
"[-Inf,5)",0,2020-03-19,case_incid,1
"[5,10)",0,2020-03-19,case_incid,0
"[10,20)",0,2020-03-19,case_incid,8
"[20,50)",0,2020-03-19,case_incid,90
"[50,65)",0,2020-03-19,case_incid,60
"[50,65)",1,2020-03-19,case_incid,0
"[65, Inf)",0,2020-03-19,case_incid,55
"[65, Inf)",1,2020-03-19,case_incid,1
"[-Inf,5)",0,2020-03-20,case_incid,0
"[5,10)",0,2020-03-20,case_incid,2
"[10,20)",0,2020-03-20,case_incid,3
"[20,50)",0,2020-03-20,case_incid,79
"[50,65)",0,2020-03-20,case_incid,48
"[50,65)",1,2020-03-20,case_incid,0
"[65, Inf)",0,2020-03-20,case_incid,33
"[65, Inf)",1,2020-03-20,case_incid,2
"[-Inf,5)",0,2020-03-21,case_incid,0
"[5,10)",0,2020-03-21,case_incid,0
"[10,20)",0,2020-03-21,case_incid,4
"[20,50)",0,2020-03-21,case_incid,50
"[50,65)",0,2020-03-21,case_incid,43
"[50,65)",1,2020-03-21,case_incid,0
"[65, Inf)",0,2020-03-21,case_incid,42
"[65, Inf)",1,2020-03-21,case_incid,2
"[-Inf,5)",0,2020-03-22,case_incid,0
"[5,10)",0,2020-03-22,case_incid,0
"[10,20)",0,2020-03-22,case_incid,0
"[20,50)",0,2020-03-22,case_incid,45
"[50,65)",0,2020-03-22,case_incid,24
"[50,65)",1,2020-03-22,case_incid,0
"[65, Inf)",0,2020-03-22,case_incid,38
"[65, Inf)",1,2020-03-22,case_incid,0
"[-Inf,5)",0,2020-03-23,case_incid,0
"[5,10)",0,2020-03-23,case_incid,0
"[10,20)",0,2020-03-23,case_incid,0
"[20,50)",0,2020-03-23,case_incid,89
"[50,65)",0,2020-03-23,case_incid,60
"[50,65)",1,2020-03-23,case_incid,0
"[65, Inf)",0,2020-03-23,case_incid,26
"[65, Inf)",1,2020-03-23,case_incid,2
"[-Inf,5)",0,2020-03-24,case_incid,0
"[5,10)",0,2020-03-24,case_incid,0
"[10,20)",0,2020-03-24,case_incid,2
"[20,50)",0,2020-03-24,case_incid,40
"[50,65)",0,2020-03-24,case_incid,37
"[50,65)",1,2020-03-24,case_incid,0
"[65, Inf)",0,2020-03-24,case_incid,12
"[65, Inf)",1,2020-03-24,case_incid,4
"[-Inf,5)",0,2020-03-25,case_incid,0
"[5,10)",0,2020-03-25,case_incid,0
"[10,20)",0,2020-03-25,case_incid,3
"[20,50)",0,2020-03-25,case_incid,70
"[50,65)",0,2020-03-25,case_incid,28
"[50,65)",1,2020-03-25,case_incid,0
"[65, Inf)",0,2020-03-25,case_incid,36
"[65, Inf)",1,2020-03-25,case_incid,5
"[-Inf,5)",0,2020-03-26,case_incid,0
"[5,10)",0,2020-03-26,case_incid,0
"[10,20)",0,2020-03-26,case_incid,6
"[20,50)",0,2020-03-26,case_incid,109
"[50,65)",0,2020-03-26,case_incid,44
"[50,65)",1,2020-03-26,case_incid,0
"[65, Inf)",0,2020-03-26,case_incid,53
"[65, Inf)",1,2020-03-26,case_incid,7
"[-Inf,5)",0,2020-03-27,case_incid,0
"[5,10)",0,2020-03-27,case_incid,0
"[10,20)",0,2020-03-27,case_incid,1
"[20,50)",0,2020-03-27,case_incid,44
"[50,65)",0,2020-03-27,case_incid,48
"[50,65)",1,2020-03-27,case_incid,1
"[65, Inf)",0,2020-03-27,case_incid,37
"[65, Inf)",1,2020-03-27,case_incid,13
"[-Inf,5)",0,2020-03-28,case_incid,1
"[5,10)",0,2020-03-28,case_incid,0
"[10,20)",0,2020-03-28,case_incid,3
"[20,50)",0,2020-03-28,case_incid,90
"[50,65)",0,2020-03-28,case_incid,58
"[50,65)",1,2020-03-28,case_incid,0
"[65, Inf)",0,2020-03-28,case_incid,46
"[65, Inf)",1,2020-03-28,case_incid,2
"[-Inf,5)",0,2020-03-29,case_incid,0
"[5,10)",0,2020-03-29,case_incid,0
"[10,20)",0,2020-03-29,case_incid,1
"[20,50)",0,2020-03-29,case_incid,44
"[50,65)",0,2020-03-29,case_incid,16
"[50,65)",1,2020-03-29,case_incid,0
"[65, Inf)",0,2020-03-29,case_incid,37
"[65, Inf)",1,2020-03-29,case_incid,10
"[-Inf,5)",0,2020-03-30,case_incid,1
"[5,10)",0,2020-03-30,case_incid,1
"[10,20)",0,2020-03-30,case_incid,3
"[20,50)",0,2020-03-30,case_incid,93
"[50,65)",0,2020-03-30,case_incid,50
"[50,65)",1,2020-03-30,case_incid,0
"[65, Inf)",0,2020-03-30,case_incid,41
"[65, Inf)",1,2020-03-30,case_incid,21
"[-Inf,5)",0,2020-03-31,case_incid,1
"[5,10)",0,2020-03-31,case_incid,0
"[10,20)",0,2020-03-31,case_incid,1
"[20,50)",0,2020-03-31,case_incid,104
"[50,65)",0,2020-03-31,case_incid,65
"[50,65)",1,2020-03-31,case_incid,2
"[65, Inf)",0,2020-03-31,case_incid,49
"[65, Inf)",1,2020-03-31,case_incid,20
"[-Inf,5)",0,2020-04-01,case_incid,1
"[5,10)",0,2020-04-01,case_incid,1
"[10,20)",0,2020-04-01,case_incid,5
"[20,50)",0,2020-04-01,case_incid,62
"[50,65)",0,2020-04-01,case_incid,55
"[50,65)",1,2020-04-01,case_incid,0
"[65, Inf)",0,2020-04-01,case_incid,27
"[65, Inf)",1,2020-04-01,case_incid,10
"[-Inf,5)",0,2020-04-02,case_incid,1
"[5,10)",0,2020-04-02,case_incid,0
"[10,20)",0,2020-04-02,case_incid,7
"[20,50)",0,2020-04-02,case_incid,121
"[50,65)",0,2020-04-02,case_incid,69
"[50,65)",1,2020-04-02,case_incid,0
"[65, Inf)",0,2020-04-02,case_incid,32
"[65, Inf)",1,2020-04-02,case_incid,15
"[-Inf,5)",0,2020-04-03,case_incid,1
"[5,10)",0,2020-04-03,case_incid,1
"[10,20)",0,2020-04-03,case_incid,5
"[20,50)",0,2020-04-03,case_incid,91
"[50,65)",0,2020-04-03,case_incid,50
"[50,65)",1,2020-04-03,case_incid,2
"[65, Inf)",0,2020-04-03,case_incid,28
"[65, Inf)",1,2020-04-03,case_incid,18
"[-Inf,5)",0,2020-04-04,case_incid,0
"[5,10)",0,2020-04-04,case_incid,1
"[10,20)",0,2020-04-04,case_incid,3
"[20,50)",0,2020-04-04,case_incid,63
"[50,65)",0,2020-04-04,case_incid,33
"[50,65)",1,2020-04-04,case_incid,2
"[65, Inf)",0,2020-04-04,case_incid,17
"[65, Inf)",1,2020-04-04,case_incid,13
"[-Inf,5)",0,2020-04-05,case_incid,1
"[5,10)",0,2020-04-05,case_incid,0
"[10,20)",0,2020-04-05,case_incid,1
"[20,50)",0,2020-04-05,case_incid,42
"[50,65)",0,2020-04-05,case_incid,22
"[50,65)",1,2020-04-05,case_incid,0
"[65, Inf)",0,2020-04-05,case_incid,20
"[65, Inf)",1,2020-04-05,case_incid,1
"[-Inf,5)",0,2020-04-06,case_incid,0
"[5,10)",0,2020-04-06,case_incid,1
"[10,20)",0,2020-04-06,case_incid,2
"[20,50)",0,2020-04-06,case_incid,49
"[50,65)",0,2020-04-06,case_incid,32
"[50,65)",1,2020-04-06,case_incid,0
"[65, Inf)",0,2020-04-06,case_incid,19
"[65, Inf)",1,2020-04-06,case_incid,14
"[-Inf,5)",0,2020-04-07,case_incid,0
"[5,10)",0,2020-04-07,case_incid,0
"[10,20)",0,2020-04-07,case_incid,4
"[20,50)",0,2020-04-07,case_incid,81
"[50,65)",0,2020-04-07,case_incid,39
"[50,65)",1,2020-04-07,case_incid,0
"[65, Inf)",0,2020-04-07,case_incid,30
"[65, Inf)",1,2020-04-07,case_incid,13
"[-Inf,5)",0,2020-04-08,case_incid,1
"[5,10)",0,2020-04-08,case_incid,0
"[10,20)",0,2020-04-08,case_incid,5
"[20,50)",0,2020-04-08,case_incid,55
"[50,65)",0,2020-04-08,case_incid,31
"[50,65)",1,2020-04-08,case_incid,0
"[65, Inf)",0,2020-04-08,case_incid,29
"[65, Inf)",1,2020-04-08,case_incid,11
"[-Inf,5)",0,2020-04-09,case_incid,0
"[5,10)",0,2020-04-09,case_incid,1
"[10,20)",0,2020-04-09,case_incid,3
"[20,50)",0,2020-04-09,case_incid,42
"[50,65)",0,2020-04-09,case_incid,19
"[50,65)",1,2020-04-09,case_incid,0
"[65, Inf)",0,2020-04-09,case_incid,17
"[65, Inf)",1,2020-04-09,case_incid,6
"[-Inf,5)",0,2020-04-10,case_incid,0
"[5,10)",0,2020-04-10,case_incid,0
"[10,20)",0,2020-04-10,case_incid,0
"[20,50)",0,2020-04-10,case_incid,20
"[50,65)",0,2020-04-10,case_incid,11
"[50,65)",1,2020-04-10,case_incid,0
"[65, Inf)",0,2020-04-10,case_incid,7
"[65, Inf)",1,2020-04-10,case_incid,5
"[-Inf,5)",0,2020-04-11,case_incid,2
"[5,10)",0,2020-04-11,case_incid,0
"[10,20)",0,2020-04-11,case_incid,1
"[20,50)",0,2020-04-11,case_incid,25
"[50,65)",0,2020-04-11,case_incid,9
"[50,65)",1,2020-04-11,case_incid,0
"[65, Inf)",0,2020-04-11,case_incid,7
"[65, Inf)",1,2020-04-11,case_incid,6
"[-Inf,5)",0,2020-04-12,case_incid,0
"[5,10)",0,2020-04-12,case_incid,0
"[10,20)",0,2020-04-12,case_incid,0
"[20,50)",0,2020-04-12,case_incid,9
"[50,65)",0,2020-04-12,case_incid,6
"[50,65)",1,2020-04-12,case_incid,0
"[65, Inf)",0,2020-04-12,case_incid,5
"[65, Inf)",1,2020-04-12,case_incid,3
"[-Inf,5)",0,2020-04-13,case_incid,0
"[5,10)",0,2020-04-13,case_incid,0
"[10,20)",0,2020-04-13,case_incid,1
"[20,50)",0,2020-04-13,case_incid,18
"[50,65)",0,2020-04-13,case_incid,11
"[50,65)",1,2020-04-13,case_incid,0
